Time	Ref	Planta	Derivada1
1.264000	0.953306	0.924875	4.025135
1.268000	0.954506	0.926357	4.037145
1.272000	0.955692	0.927824	4.049064
1.276000	0.956861	0.929275	4.060893
1.280000	0.958016	0.930712	4.072631
1.284000	0.959155	0.932135	4.084276
1.288000	0.960279	0.933542	4.095827
1.292000	0.961387	0.934934	4.107285
1.296000	0.962480	0.936311	4.118647
1.300000	0.963558	0.937674	4.129915
1.304000	0.964620	0.939021	4.141085
1.308000	0.965667	0.940353	4.152159
1.312000	0.966699	0.941671	4.163134
1.316000	0.967715	0.942973	4.174011
1.320000	0.968715	0.944260	4.184788
1.324000	0.969700	0.945532	4.195464
1.328000	0.970669	0.946789	4.206040
1.332000	0.971623	0.948031	4.216513
1.336000	0.972562	0.949257	4.226884
1.340000	0.973485	0.950469	4.237151
1.344000	0.974392	0.951665	4.247314
1.348000	0.975283	0.952846	4.257372
1.352000	0.976159	0.954011	4.267324
1.356000	0.977020	0.955162	4.277169
1.360000	0.977865	0.956297	4.286907
1.364000	0.978694	0.957417	4.296536
1.368000	0.979507	0.958521	4.306057
1.372000	0.980305	0.959610	4.315468
1.376000	0.981087	0.960684	4.324768
1.380000	0.981854	0.961743	4.333957
1.384000	0.982604	0.962786	4.343034
1.388000	0.983339	0.963813	4.351998
1.392000	0.984058	0.964826	4.360848
1.396000	0.984762	0.965823	4.369584
1.400000	0.985450	0.966804	4.378204
1.404000	0.986122	0.967770	4.386709
1.408000	0.986778	0.968720	4.395097
1.412000	0.987418	0.969655	4.403368
1.416000	0.988043	0.970574	4.411520
1.420000	0.988652	0.971478	4.419553
1.424000	0.989245	0.972367	4.427467
1.428000	0.989822	0.973239	4.435260
1.432000	0.990383	0.974097	4.442931
1.436000	0.990929	0.974938	4.450481
1.440000	0.991458	0.975764	4.457908
1.444000	0.991972	0.976575	4.465211
1.448000	0.992470	0.977369	4.472390
1.452000	0.992952	0.978149	4.479443
1.456000	0.993418	0.978912	4.486371
1.460000	0.993868	0.979660	4.493173
1.464000	0.994303	0.980392	4.499847
1.468000	0.994721	0.981108	4.506393
1.472000	0.995124	0.981809	4.512810
1.476000	0.995510	0.982494	4.519097
1.480000	0.995881	0.983164	4.525255
1.484000	0.996236	0.983817	4.531281
1.488000	0.996574	0.984455	4.537175
1.492000	0.996897	0.985077	4.542937
1.496000	0.997204	0.985683	4.548565
1.500000	0.997495	0.986274	4.554060
1.504000	0.997770	0.986849	4.559420
1.508000	0.998029	0.987408	4.564644
1.512000	0.998272	0.987951	4.569732
1.516000	0.998499	0.988478	4.574683
1.520000	0.998710	0.988990	4.579496
1.524000	0.998905	0.989486	4.584171
1.528000	0.999084	0.989966	4.588706
1.532000	0.999248	0.990430	4.593102
1.536000	0.999395	0.990878	4.597357
1.540000	0.999526	0.991310	4.601470
1.544000	0.999641	0.991727	4.605442
1.548000	0.999740	0.992128	4.609271
1.552000	0.999823	0.992512	4.612956
1.556000	0.999891	0.992881	4.616497
1.560000	0.999942	0.993234	4.619893
1.564000	0.999977	0.993571	4.623143
1.568000	0.999996	0.993893	4.626247
1.572000	0.999999	0.994198	4.629203
1.576000	0.999986	0.994487	4.632012
1.580000	0.999958	0.994761	4.634672
1.584000	0.999913	0.995019	4.637183
1.588000	0.999852	0.995260	4.639544
1.592000	0.999775	0.995486	4.641754
1.596000	0.999682	0.995696	4.643813
1.600000	0.999574	0.995890	4.645719
1.604000	0.999449	0.996068	4.647473
1.608000	0.999308	0.996230	4.649073
1.612000	0.999151	0.996376	4.650519
1.616000	0.998978	0.996506	4.651810
1.620000	0.998790	0.996620	4.652945
1.624000	0.998585	0.996718	4.653924
1.628000	0.998364	0.996801	4.654746
1.632000	0.998128	0.996867	4.655410
1.636000	0.997875	0.996917	4.655916
1.640000	0.997606	0.996952	4.656263
1.644000	0.997322	0.996970	4.656449
1.648000	0.997021	0.996973	4.656475
1.652000	0.996705	0.996959	4.656340
1.656000	0.996372	0.996930	4.656043
1.660000	0.996024	0.996885	4.655583
1.664000	0.995660	0.996824	4.654960
1.668000	0.995279	0.996746	4.654173
1.672000	0.994883	0.996653	4.653222
1.676000	0.994471	0.996544	4.652105
1.680000	0.994043	0.996419	4.650822
1.684000	0.993599	0.996278	4.649372
1.688000	0.993140	0.996121	4.647755
1.692000	0.992664	0.995948	4.645969
1.696000	0.992172	0.995759	4.644015
1.700000	0.991665	0.995555	4.641892
1.704000	0.991142	0.995334	4.639598
1.708000	0.990602	0.995097	4.637134
1.712000	0.990047	0.994845	4.634498
1.716000	0.989476	0.994577	4.631690
1.720000	0.988890	0.994292	4.628709
1.724000	0.988287	0.993992	4.625555
1.728000	0.987669	0.993676	4.622227
1.732000	0.987035	0.993344	4.618724
1.736000	0.986385	0.992996	4.615045
1.740000	0.985719	0.992632	4.611191
1.744000	0.985038	0.992252	4.607159
1.748000	0.984340	0.991857	4.602950
1.752000	0.983627	0.991445	4.598563
1.756000	0.982899	0.991018	4.593997
1.760000	0.982154	0.990575	4.589252
1.764000	0.981394	0.990116	4.584327
1.768000	0.980618	0.989641	4.579221
1.772000	0.979827	0.989150	4.573934
1.776000	0.979020	0.988644	4.568464
1.780000	0.978197	0.988121	4.562813
1.784000	0.977358	0.987583	4.556977
1.788000	0.976504	0.987029	4.550958
1.792000	0.975634	0.986459	4.544754
1.796000	0.974749	0.985874	4.538365
1.800000	0.973848	0.985273	4.531790
1.804000	0.972931	0.984655	4.525029
1.808000	0.971999	0.984023	4.518080
1.812000	0.971051	0.983374	4.510944
1.816000	0.970088	0.982710	4.503619
1.820000	0.969109	0.982030	4.496105
1.824000	0.968115	0.981334	4.488402
1.828000	0.967105	0.980623	4.480508
1.832000	0.966080	0.979895	4.472423
1.836000	0.965039	0.979153	4.464147
1.840000	0.963983	0.978394	4.455679
1.844000	0.962911	0.977620	4.447017
1.848000	0.961824	0.976830	4.438162
1.852000	0.960722	0.976025	4.429114
1.856000	0.959604	0.975204	4.419870
1.860000	0.958471	0.974367	4.410431
1.864000	0.957323	0.973515	4.400797
1.868000	0.956159	0.972647	4.390966
1.872000	0.954980	0.971764	4.380937
1.876000	0.953786	0.970865	4.370711
1.880000	0.952576	0.969950	4.360287
1.884000	0.951351	0.969020	4.349663
1.888000	0.950111	0.968075	4.338841
1.892000	0.948856	0.967114	4.327817
1.896000	0.947586	0.966138	4.316594
1.900000	0.946300	0.965146	4.305168
1.904000	0.944999	0.964138	4.293541
1.908000	0.943684	0.963116	4.281711
1.912000	0.942353	0.962078	4.269678
1.916000	0.941007	0.961024	4.257442
1.920000	0.939645	0.959955	4.245001
1.924000	0.938269	0.958871	4.232355
1.928000	0.936878	0.957771	4.219503
1.932000	0.935472	0.956656	4.206445
1.936000	0.934051	0.955526	4.193181
1.940000	0.932615	0.954380	4.179709
1.944000	0.931164	0.953220	4.166030
1.948000	0.929698	0.952044	4.152142
1.952000	0.928217	0.950852	4.138045
1.956000	0.926722	0.949646	4.123738
1.960000	0.925212	0.948424	4.109222
1.964000	0.923686	0.947187	4.094494
1.968000	0.922146	0.945935	4.079555
1.972000	0.920592	0.944668	4.064404
1.976000	0.919022	0.943386	4.049041
1.980000	0.917438	0.942088	4.033465
1.984000	0.915839	0.940776	4.017675
1.988000	0.914226	0.939448	4.001671
1.992000	0.912597	0.938106	3.985452
1.996000	0.910955	0.936748	3.969018
2.000000	0.909297	0.935376	3.952369
2.004000	0.907626	0.933988	3.935502
2.008000	0.905939	0.932586	3.918419
2.012000	0.904238	0.931168	3.901118
2.016000	0.902523	0.929736	3.883600
2.020000	0.900793	0.928289	3.865862
2.024000	0.899049	0.926827	3.847906
2.028000	0.897290	0.925350	3.829730
2.032000	0.895517	0.923858	3.811333
2.036000	0.893730	0.922352	3.792716
2.040000	0.891929	0.920831	3.773878
2.044000	0.890113	0.919295	3.754818
2.048000	0.888283	0.917744	3.735535
2.052000	0.886438	0.916179	3.716029
2.056000	0.884580	0.914599	3.696300
2.060000	0.882707	0.913005	3.676347
2.064000	0.880821	0.911395	3.656170
2.068000	0.878920	0.909772	3.635767
2.072000	0.877005	0.908133	3.615139
2.076000	0.875076	0.906480	3.594285
2.080000	0.873133	0.904813	3.573205
2.084000	0.871176	0.903131	3.551897
2.088000	0.869205	0.901435	3.530362
2.092000	0.867220	0.899724	3.508598
2.096000	0.865222	0.897999	3.486606
2.100000	0.863209	0.896260	3.464385
2.104000	0.861183	0.894506	3.441934
2.108000	0.859143	0.892738	3.419253
2.112000	0.857089	0.890955	3.396342
2.116000	0.855022	0.889158	3.373199
2.120000	0.852940	0.887348	3.349824
2.124000	0.850846	0.885522	3.326218
2.128000	0.848737	0.883683	3.302379
2.132000	0.846615	0.881830	3.278306
2.136000	0.844480	0.879962	3.254001
2.140000	0.842330	0.878081	3.229461
2.144000	0.840168	0.876185	3.204686
2.148000	0.837992	0.874275	3.179677
2.152000	0.835802	0.872352	3.154431
2.156000	0.833600	0.870414	3.128950
2.160000	0.831383	0.868463	3.103233
2.164000	0.829154	0.866497	3.077278
2.168000	0.826911	0.864518	3.051086
2.172000	0.824655	0.862525	3.024657
2.176000	0.822386	0.860518	2.997988
